session_id,session_length
00005746-17ec-449c-9c5c-699a3ea9304a,0 days 00:04:16
00007415-e0e7-4a33-95e8-5bc749016876,0 days 00:04:19
00052824-fb09-42db-8796-57bf4bb2b995,0 days 00:16:01.407863
000967af-d665-4112-a06c-c5b06e67d1be,0 days 00:36:20
00098329-5a72-48b5-9ec2-42b914c0529f,0 days 00:00:00
000a8564-448a-49c8-8b49-afee1fb81a93,0 days 00:12:35
000dfb1c-480c-4ded-b65d-cb349e242367,0 days 00:55:56
0010c783-c688-4c18-bb90-61f46f047828,0 days 00:00:00
00124788-698a-461d-b9e9-6bc66ccfee5d,0 days 00:28:49
001284a4-8ab1-45c7-928b-8614e3085921,0 days 00:00:00
0012a562-8851-4166-9761-459ed35228f3,0 days 00:45:03
00176f66-0c33-44b5-9965-f955232e2597,0 days 00:15:56
002236ae-9d24-4080-b4a6-50581f387fd2,0 days 00:05:22
0024e5b9-8e92-4dd8-b2c1-7cd7523fdaf3,0 days 00:15:17
00280a83-92ab-4589-97f4-132a7fd80c10,0 days 00:28:01.034688
002c40b6-5987-47e6-99c8-cdc685e84123,0 days 00:31:49
002e6f8f-16a4-45b4-8357-a55d52abedef,0 days 00:00:00
0030becb-2e07-4548-9392-0dd6adc430db,0 days 00:19:01
003eb373-8078-4655-abe2-496912cbe230,0 days 00:42:28
00404650-4568-4f91-965d-48afbc2f7fcc,0 days 00:29:03
00414b7e-ce2d-4a1d-9457-9fae9dd547a6,0 days 00:37:27.989402
0046cca1-a069-44f3-9503-5d400452edc0,0 days 00:17:37.331665
004da73e-a73d-4c44-b772-137556e9b455,0 days 00:28:35
0054b4fb-5c5f-4e30-b75d-1ea9b2cc58dc,0 days 00:56:50
0055b87f-450b-4211-a717-22b1dc4a53cf,0 days 00:01:59
0057703d-01c7-4880-9fab-88704785dbc0,0 days 00:06:57
0057cb7f-98ec-41fa-af4e-ac28d620b559,0 days 00:19:32
00583c75-5670-4302-ac1e-a7f0a0e37298,0 days 00:00:00
005932a0-f8d7-4481-9624-7b99e9306beb,0 days 00:00:00
00598d1f-f343-4e37-a8a1-c5c5c201b084,0 days 00:34:34.047340
0059ed3d-3fb6-4023-8afa-884a5e4a8cdc,0 days 00:00:00
005ada5e-eb5e-47c5-af72-5887da528842,0 days 00:04:23.882070
005e1237-00ce-44a6-ba76-1ac6ec105567,0 days 00:01:14
00635948-2a63-4ba3-9c47-daf3c48fa409,0 days 00:40:46
00675e1a-08f1-4a9e-9f65-94965f0ee960,0 days 00:09:45
006d0e06-f1a8-46d2-b294-77fdc4c806de,0 days 00:36:54
006f340d-e246-4988-b6c4-d963d612339f,0 days 00:10:44.477701
00707f93-6aaf-4a79-bc24-f46f51db7f92,0 days 00:05:25
00710d03-453e-4a52-bf33-217673c9faad,0 days 00:14:31
00729b9f-bfee-42c5-a967-ce7b442b2fd0,0 days 00:16:03
0075d3f7-2b9f-4094-9b12-14ebceb26608,0 days 00:09:10.837381
0079a778-2789-4a20-b1d1-ee830fc58c8f,0 days 00:17:36.280119
008004bf-5334-4b7e-b209-469ab818d9d0,0 days 00:00:00
00840c9c-92a3-48c8-89cb-0dd5528f4995,0 days 00:00:00
008708db-e484-4309-bd84-5a0183b9f351,0 days 00:27:38
008918c3-de7d-43e8-9913-e713f6abc656,0 days 00:20:08
008b1c8b-19b0-4668-9dca-16f89e208beb,0 days 00:10:13.630358
008c2683-bd21-4e86-8d33-dd0254b01919,0 days 00:00:00
00987a1a-ad2a-4e80-8f14-05f486d284c8,0 days 00:00:53
009f4309-cd0c-4a33-acbe-32901da39687,0 days 00:32:02
00a31825-4533-434b-9420-13ba5f05d7cc,0 days 00:00:00
00a31b84-fc84-48f6-a5a1-67d4357327dd,0 days 00:14:24
00a3d027-12f7-42e4-aa64-815f38d266f1,0 days 00:02:06
00a772a5-221c-4874-89c5-f77ed51bd04d,0 days 00:00:00
00a8e7a8-82b3-40bb-9064-714c1daf575e,0 days 00:19:46.827082
00a9da05-0d04-4e42-9aa4-4d2c62906fff,0 days 00:45:18.498529
00ac84ac-2d07-495d-bb85-71ef94bb5242,0 days 00:07:01.720419
00ae5cc6-8bfe-45a7-884c-86cc103ba999,0 days 00:22:45.385013
00b64622-a7cc-4814-9b08-e26f1e53c601,0 days 00:12:22.985317
00b7b49c-8c54-4e34-b31b-d84b5d92af22,0 days 00:22:39
00b9cdc4-fc21-4e3b-b581-595fc1c0bc8f,0 days 00:31:05.950561
00be1cf2-ef7a-4991-8441-b3b566704036,0 days 00:26:44.255978
00c352bc-3094-4baf-9888-de487ff265a2,0 days 00:11:02
00c4f833-d500-4e96-95a3-57f416c82f3a,0 days 00:39:41
00c5094b-ea11-46d5-bcd6-89b8ff3ac6b7,0 days 00:00:00
00c8b3d7-dfbe-4f65-87e7-8864ce3f7aff,0 days 00:44:47.882407
00cc9322-2155-40b8-af08-7535828b126c,0 days 00:06:56
00cdcff7-3817-4881-a751-a27abb82430b,0 days 00:48:39
00cfd44f-7504-4cfc-be59-b7eb0ed7115d,0 days 00:45:33.731128
00d77c9f-460b-4169-b0c4-7267f12a5a43,0 days 00:04:37
00d95b85-23b7-4483-bd04-89c1eee14caf,0 days 00:57:16.532485
00da51dc-8aac-4226-ad9a-4c978fae7284,0 days 00:07:12.394541
00dbee70-68f5-47ea-ac13-203922a46d6f,0 days 00:10:52
00df80d0-3914-43fe-8e12-dba298d08f60,0 days 00:10:38
00e31bcd-c604-4163-9dac-825874c6a618,0 days 00:57:04.567305
00e4c771-e051-48af-b1dd-52f0d79fc36f,0 days 00:36:32
00e960ea-82cc-4450-aef6-7dc86556d52c,0 days 00:21:10.822827
00eb981e-8a5f-413d-b3b5-3a6134af2bb5,0 days 00:23:50.556537
00ee25d9-633f-424b-a27a-a13dbc810a47,0 days 00:00:00
00ef3d8e-7d91-4427-875c-98b790575321,0 days 00:47:48
00f4aefe-b6c6-401d-9f08-742c55c92b61,0 days 00:43:45
